angle,layer1,layer2,layer3,layer4
296.5,81.949,82.3754,82.7688,87.2074
297.0,81.8657,82.3322,83.0342,87.1179
297.5,81.8838,82.3956,84.3349,87.1758
298.0,81.8866,82.4704,84.6096,86.9186
298.5,81.9068,82.4612,83.9636,86.9154
299.0,81.9224,82.4949,85.7617,86.938
299.5,81.9435,82.5331,86.0662,87.0786
300.0,81.9118,82.5899,86.116,87.344
300.5,81.9769,82.618,86.9531,87.3591
301.0,82.008,82.7276,87.1873,86.6545
301.5,82.0084,82.7972,87.172,86.5355
302.0,82.0473,82.8121,87.3418,87.0865
302.5,82.1546,82.9307,87.3057,87.1021
303.0,82.173,82.9942,87.3135,86.6571
303.5,82.2311,83.1162,87.3294,87.0523
304.0,82.2899,83.2048,87.1692,86.9226
304.5,82.3487,83.3012,87.4251,86.908
305.0,82.399,83.3202,87.4215,86.9325
305.5,82.426,83.5323,87.4071,86.9167
306.0,82.5076,83.5722,87.3991,86.7995
306.5,82.5712,83.692,87.2641,86.8339
307.0,82.6314,83.7651,87.4223,86.7669
307.5,82.6997,83.9151,87.1074,86.6138
308.0,82.8035,84.0231,87.3661,86.9021
308.5,82.8185,84.1319,87.4227,87.0711
309.0,82.8399,84.2667,87.4925,86.9441
309.5,82.8746,84.3206,87.5386,86.9197
310.0,82.9426,84.5236,87.4548,87.0289
310.5,82.9687,84.5775,87.5112,86.8831
311.0,83.0113,84.6122,87.5903,86.9718
311.5,82.9973,84.7037,87.5631,86.7119
312.0,82.9912,83.9311,87.5448,86.5419
312.5,83.0466,0.0,87.6244,86.7596
313.0,83.0603,0.0,87.7482,87.2736
313.5,83.0593,0.0,87.7545,87.1883
314.0,83.0083,0.0,87.6526,87.0387
314.5,82.9463,0.0,87.871,87.2445
315.0,82.9372,0.0,87.9621,87.2943
315.5,82.9203,0.0,87.9781,87.3758
316.0,82.8426,0.0,87.7145,87.2372
316.5,82.8208,84.2988,87.8989,87.1423
317.0,82.7698,84.1162,87.6474,86.9257
317.5,82.7473,83.8969,87.8363,86.9389
318.0,82.7026,83.8171,87.7655,86.8753
318.5,82.6746,83.7114,87.5476,86.7993
319.0,82.6233,83.6303,87.5312,86.8748
319.5,82.6142,83.5012,87.6103,87.219
320.0,82.5716,83.3527,87.6288,87.1711
320.5,82.4894,83.2954,87.7813,87.2202
321.0,82.5067,83.213,87.7503,87.1909
321.5,82.5414,83.1752,87.5887,87.2112
322.0,82.512,83.1474,87.74,87.2214
322.5,82.5308,83.0657,0.0,87.3416
323.0,82.5544,83.0647,0.0,87.4039
323.5,82.5163,82.9632,0.0,87.3572
324.0,82.5291,82.9355,0.0,87.3744
324.5,82.5162,82.9218,0.0,87.3263
325.0,82.6276,82.9306,84.554,87.1358
325.5,82.6617,82.8983,84.3348,86.9333
326.0,82.7132,82.8364,84.321,87.3941
326.5,82.6687,82.8384,84.29,87.2488
327.0,82.7281,82.8429,84.2797,87.3482
327.5,82.7316,82.8621,84.1997,87.4646
328.0,82.6943,82.844,84.0433,87.0916
328.5,82.5224,82.8327,83.9962,87.0496
329.0,82.8232,82.8156,83.9261,86.9256
329.5,82.669,82.8044,83.8064,86.934
330.0,82.6167,82.7311,83.6114,86.6517
330.5,82.3119,82.6901,83.5304,87.1582
331.0,82.3715,82.652,83.4723,86.9638
331.5,82.2319,82.6689,83.3018,86.8584
332.0,82.214,82.5956,83.2274,87.257
332.5,82.3527,82.5424,83.1722,0.0
333.0,82.1705,82.5045,83.0692,0.0
333.5,82.0695,82.543,83.0602,0.0
334.0,82.3904,82.4556,82.9843,0.0
334.5,82.2053,82.3387,82.8877,0.0
335.0,82.1389,82.3531,82.8183,0.0
335.5,82.3163,82.3583,82.7194,84.4712
336.0,82.227,82.391,82.6477,84.2506
336.5,82.1578,82.3345,82.6022,0.0
337.0,82.1414,82.2498,82.5509,0.0
337.5,82.219,82.2502,82.4936,0.0
338.0,82.189,82.2104,82.3977,0.0
338.5,82.1174,82.202,82.3961,0.0
339.0,82.1866,82.2547,82.3364,0.0
339.5,82.166,82.0938,82.3238,83.8526
340.0,82.1585,82.1733,82.2471,83.8491
340.5,82.2022,81.9365,82.1712,83.6337
341.0,82.17,81.8343,82.1496,83.5895
341.5,82.1815,81.7785,82.1291,83.4788
342.0,82.1906,81.8552,82.0645,83.275
342.5,82.1688,81.9272,82.0009,83.2044
343.0,82.2631,81.6481,81.9802,83.0699
343.5,82.3197,81.6403,81.9156,82.9225
344.0,82.3712,81.6388,81.9456,82.8603
344.5,82.363,81.6903,81.8665,82.8326
345.0,82.3408,81.8878,0.0,82.705
345.5,82.3834,81.7658,81.837,82.6548
346.0,82.467,81.6881,81.7997,82.5854
346.5,82.5049,81.7794,81.8508,82.5361
347.0,82.5403,81.6858,81.8144,82.4536
347.5,82.5508,81.8681,81.8396,82.4289
348.0,82.6784,81.8581,81.8239,82.3575
348.5,82.7055,81.9163,81.76,82.3058
349.0,82.8026,81.9294,81.7382,82.2606
349.5,82.9178,81.9471,81.7351,82.2373
350.0,82.966,81.971,81.7296,82.1226
350.5,83.0055,82.0732,81.8473,82.0848
351.0,83.1369,82.1072,81.9479,82.0351
351.5,83.186,82.0904,81.8679,82.0017
352.0,83.2877,82.1434,82.0894,82.0203
352.5,83.4238,82.2417,82.0976,81.9505
353.0,83.5451,82.2861,81.9171,81.9512
353.5,83.6364,82.3034,82.2665,81.9581
354.0,83.6782,82.3716,81.9771,81.9073
354.5,83.9493,82.4056,82.0278,81.9398
355.0,84.0154,82.489,81.8854,81.9135
355.5,84.216,82.5518,81.6409,81.9218
356.0,84.3514,82.6125,82.0566,81.937
356.5,84.7649,82.7312,81.9283,81.9851
357.0,89.024,82.7643,81.8588,81.9476
357.5,88.5901,82.8561,81.96,81.9846
358.0,88.3995,82.9122,81.8056,82.0021
358.5,88.3128,82.9531,81.8502,81.9946
359.0,88.3133,83.0109,81.8096,82.0442
359.5,88.2473,83.0649,81.9799,82.0469
